iter	Passed	Remaining
377	22920	25588
378	22978	25525
379	23039	25464
380	23098	25402
381	23159	25341
382	23223	25284
383	23282	25222
384	23350	25169
385	23410	25108
386	23478	25055
387	23540	24996
388	23610	24945
389	23676	24890
390	23741	24833
391	23807	24779
392	23874	24724
393	23947	24676
394	24009	24617
395	24071	24557
396	24129	24494
397	24188	24431
398	24248	24370
399	24314	24314
400	24375	24253
401	24436	24193
402	24497	24133
403	24569	24083
404	24633	24025
405	24700	23970
406	24765	23913
407	24827	23853
408	24893	23798
409	24956	23738
410	25021	23682
411	25085	23624
412	25151	23568
413	25206	23501
414	25261	23435
415	25318	23370
416	25377	23307
417	25432	23242
418	25497	23184
419	25556	23122
420	25620	23064
421	25679	23002
422	25739	22940
423	25802	22881
424	25871	22827
425	25934	22768
426	25996	22708
427	26056	22647
428	26122	22590
429	26184	22530
430	26239	22464
431	26295	22399
432	26344	22329
433	26394	22258
434	26448	22192
435	26505	22128
436	26555	22058
437	26630	22009
438	26680	21939
439	26734	21873
440	26791	21809
441	26843	21741
442	26900	21677
443	26950	21609
444	27006	21544
445	27061	21479
446	27118	21415
447	27177	21353
448	27231	21287
449	27284	21221
450	27339	21156
451	27392	21089
452	27452	21028
453	27509	20965
454	27569	20904
455	27627	20842
456	27685	20779
457	27742	20715
458	27797	20651
459	27859	20591
460	27915	20527
461	27974	20466
462	28027	20399
463	28079	20333
464	28135	20269
465	28197	20210
466	28251	20145
467	28309	20082
468	28364	20018
