iter	RMSE
0	1.428617337
1	1.417283945
2	1.406083637
3	1.395633414
4	1.38333159
5	1.370986775
6	1.359531031
7	1.348707405
8	1.339367011
9	1.331077363
10	1.322190255
11	1.315090051
12	1.307862866
13	1.300722683
14	1.293208473
15	1.287130122
16	1.281704077
17	1.275921268
18	1.271603758
19	1.267288022
20	1.261827025
21	1.25799891
22	1.253405976
23	1.249039687
24	1.245293397
25	1.241597805
26	1.237397842
27	1.234730718
28	1.232302873
29	1.228767853
30	1.225737181
31	1.22291138
32	1.219512197
33	1.216005044
34	1.21214783
35	1.207884266
36	1.206989147
37	1.204511986
38	1.201783021
39	1.199738184
40	1.197454108
41	1.195152614
42	1.192640308
43	1.189916996
44	1.187620274
45	1.185540564
46	1.182757192
47	1.180415004
48	1.17879726
49	1.176745733
50	1.174397603
51	1.171982993
52	1.169759106
53	1.167223797
54	1.166081012
55	1.164492595
56	1.162700717
57	1.161063452
58	1.159719247
59	1.157666742
60	1.156239543
61	1.155313689
62	1.153347805
63	1.151346929
64	1.14901827
65	1.147357817
66	1.145977507
67	1.145177555
68	1.141781806
69	1.139813915
70	1.138285136
71	1.136978418
72	1.135720127
73	1.134657132
74	1.133190208
75	1.131913776
76	1.130306087
77	1.128322293
78	1.126218011
79	1.124611742
80	1.122489554
81	1.121237133
82	1.119716448
83	1.11842317
84	1.117282106
85	1.116031605
86	1.114758656
87	1.113507022
88	1.111915597
89	1.109671861
90	1.107119944
91	1.105396062
92	1.104190559
93	1.10275073
94	1.102399831
95	1.100366875
96	1.099245633
97	1.09918432
98	1.098047409
99	1.097512733
100	1.096288759
101	1.094553048
102	1.093310974
103	1.092580151
104	1.091544369
105	1.090304867
106	1.089425763
107	1.086973272
108	1.085594961
109	1.084664484
110	1.083840515
111	1.082040672
112	1.081253087
113	1.080712215
114	1.079959519
115	1.078725375
116	1.077733683
117	1.077149807
118	1.076195401
119	1.075103674
120	1.07359393
121	1.07224081
122	1.071143233
123	1.070020458
124	1.068478403
125	1.068476496
126	1.067353743
127	1.066292512
128	1.065030923
129	1.063228177
130	1.062386652
131	1.061680778
132	1.060903022
133	1.060474888
134	1.059702732
135	1.058506315
136	1.057980811
137	1.05727171
138	1.056591938
139	1.055578274
140	1.054583809
141	1.053550144
142	1.052795986
143	1.052158958
144	1.051423958
145	1.051050429
146	1.050327802
147	1.04965078
148	1.048874532
149	1.048396323
150	1.047819803
151	1.046972584
152	1.045639246
153	1.044603187
154	1.043426042
155	1.042609188
156	1.041147541
157	1.040059375
158	1.039623894
159	1.038558459
160	1.038148287
161	1.037396599
162	1.036676578
163	1.035774248
164	1.034715484
165	1.033953494
166	1.033227234
167	1.032314402
168	1.031415294
169	1.030273732
170	1.029772166
171	1.029456485
172	1.028993945
173	1.028605534
174	1.027610423
175	1.026771463
176	1.025557019
177	1.025064441
178	1.024847754
179	1.024104678
180	1.023020804
181	1.021998039
182	1.021377527
183	1.019668162
184	1.018617193
185	1.018196842
186	1.017637161
187	1.017136966
188	1.016409261
189	1.015067385
190	1.013892731
191	1.012885281
192	1.011563584
193	1.010821667
194	1.010302556
195	1.009408547
196	1.00883632
197	1.00777206
198	1.006830084
199	1.006330897
200	1.006035199
201	1.00548542
202	1.00431362
203	1.003519454
204	1.002453446
205	1.001476778
206	1.00036109
207	0.9991604811
208	0.9986926099
209	0.9981436132
210	0.9976917227
211	0.9965516845
212	0.9953968879
213	0.9943716213
214	0.9936795607
215	0.9924246341
216	0.991448778
217	0.9910135353
218	0.9899616425
219	0.9892143848
220	0.9880823616
221	0.9875876929
222	0.9864650827
223	0.9856537062
224	0.9852819769
225	0.9847894401
226	0.983195656
227	0.9820836389
228	0.9804517438
229	0.9795204027
230	0.9786907723
231	0.9776205437
232	0.9771271187
233	0.9760556354
234	0.9753591982
235	0.9743536178
236	0.9737210839
237	0.9732329719
238	0.9724260609
239	0.9715281005
240	0.9710518864
241	0.9701102343
242	0.9694440691
243	0.9689152474
244	0.968213611
245	0.9676033513
246	0.9668873758
247	0.9661427324
248	0.9655470969
249	0.965147948
250	0.9636857457
251	0.962874194
252	0.9620964563
253	0.9614148484
254	0.9604436576
255	0.9595966436
256	0.9589139242
257	0.9575214731
258	0.9570859797
259	0.9564261504
260	0.9558302849
261	0.9547014469
262	0.9542409658
263	0.9531822338
264	0.9529135331
265	0.9518741608
266	0.9512931907
267	0.9500202896
268	0.9493051557
269	0.948278969
270	0.9475704311
271	0.9466867639
272	0.9459582246
273	0.9450545005
274	0.9445056597
275	0.9438095784
276	0.9427750092
277	0.9421235867
278	0.9413014562
279	0.9404646376
280	0.940196072
281	0.9393245988
282	0.938856735
283	0.9380586964
284	0.9370824032
285	0.9364897873
286	0.9358731565
287	0.9352990801
288	0.9345816291
289	0.9345067972
290	0.933792276
291	0.9331754929
292	0.9322208733
293	0.9318713335
294	0.9310465091
295	0.9298913766
296	0.928794616
297	0.9279626772
298	0.927718688
299	0.9269144495
300	0.92622894
301	0.9255279301
302	0.9247333011
303	0.9244787733
304	0.923845871
305	0.9234562659
