iter	Passed	Remaining
400	17802	4395
401	17853	4352
402	17902	4308
403	17952	4265
404	17999	4222
405	18044	4177
406	18088	4133
407	18121	4086
408	18156	4039
409	18205	3996
410	18253	3952
411	18301	3909
412	18348	3865
413	18395	3821
414	18444	3777
415	18490	3733
416	18539	3690
417	18588	3646
418	18641	3603
419	18691	3560
420	18740	3516
421	18787	3472
422	18834	3428
423	18870	3382
424	18904	3336
425	18944	3290
426	18996	3247
427	19044	3203
428	19098	3160
429	19147	3117
430	19194	3072
431	19242	3028
432	19285	2984
433	19331	2939
434	19375	2895
435	19422	2851
436	19468	2806
437	19517	2762
438	19564	2718
439	19611	2674
440	19663	2630
441	19714	2586
442	19766	2543
443	19815	2499
444	19864	2455
445	19917	2411
446	19967	2367
447	20018	2323
448	20069	2279
449	20120	2235
450	20175	2192
451	20228	2148
452	20279	2104
453	20332	2060
454	20379	2015
455	20425	1970
456	20476	1926
457	20510	1880
458	20536	1834
459	20575	1789
460	20621	1744
461	20666	1699
462	20715	1655
463	20762	1610
464	20814	1566
465	20867	1522
466	20915	1477
467	20957	1433
468	21011	1388
