iter	RMSE
0	1.429947965
1	1.418686856
2	1.407215267
3	1.395170005
4	1.383519107
5	1.37346208
6	1.363774437
7	1.35501823
8	1.346688956
9	1.339024759
10	1.331812799
11	1.325423773
12	1.319361217
13	1.31339313
14	1.30892856
15	1.303895325
16	1.300161218
17	1.294826725
18	1.290813211
19	1.286308226
20	1.282802546
21	1.278945664
22	1.274929559
23	1.270519709
24	1.267431242
25	1.264203544
26	1.261400637
27	1.258459079
28	1.255849546
29	1.253670852
30	1.250772702
31	1.247831328
32	1.245417806
33	1.242653427
34	1.239996899
35	1.238173745
36	1.236242732
37	1.234237513
38	1.232433018
39	1.23078797
40	1.2288179
41	1.227533844
42	1.225657273
43	1.224230315
44	1.222481844
45	1.221252061
46	1.220065911
47	1.218558087
48	1.217666196
49	1.215889462
50	1.21469574
51	1.213090747
52	1.212083979
53	1.210325782
54	1.209143117
55	1.208417538
56	1.207536599
57	1.206641843
58	1.205257765
59	1.203317486
60	1.202282285
61	1.201257983
62	1.201058838
63	1.200406026
64	1.199558786
65	1.198337259
66	1.197785774
67	1.196684867
68	1.196067523
69	1.195422598
70	1.194519146
71	1.193437763
72	1.192632658
73	1.191864046
74	1.19102684
75	1.190220025
76	1.189771696
77	1.188524378
78	1.18791992
79	1.187060511
80	1.186496756
81	1.185797513
82	1.185039734
83	1.18434823
84	1.18357946
85	1.183047972
86	1.182220473
87	1.181428291
88	1.180598871
89	1.179400417
90	1.178634614
91	1.178156819
92	1.177511909
93	1.176933788
94	1.175944564
95	1.175696556
96	1.174689953
97	1.174287892
98	1.173589046
99	1.17300333
100	1.172415753
101	1.172061146
102	1.171298269
103	1.170150581
104	1.169424541
105	1.168760329
106	1.168211626
107	1.167874185
108	1.167352284
109	1.166832717
110	1.166172687
111	1.165394489
112	1.164975086
113	1.164270669
114	1.163945423
115	1.163563803
116	1.163255196
117	1.162772646
118	1.161607607
119	1.16055705
120	1.16026987
121	1.159807044
122	1.15921639
123	1.158255918
124	1.157474656
125	1.156890202
126	1.15636934
127	1.155638751
128	1.155282789
129	1.154798769
130	1.154372583
131	1.154099323
132	1.153744662
133	1.153035153
134	1.152744792
135	1.152006006
136	1.15164332
137	1.151319442
138	1.150870291
139	1.149756217
140	1.148676964
141	1.148401676
142	1.148115063
143	1.147870274
144	1.147094579
145	1.146657875
146	1.145923003
147	1.145541663
148	1.145282636
149	1.144805989
150	1.144607183
151	1.144363932
152	1.143869019
153	1.143452785
154	1.142878642
155	1.142331727
156	1.141708935
157	1.141481251
158	1.140713112
159	1.139785612
160	1.139163041
161	1.138750868
162	1.138406201
163	1.137962941
164	1.13742296
165	1.13663963
166	1.136434818
167	1.135885666
168	1.135406505
169	1.135149274
170	1.134886696
171	1.134205967
172	1.133691145
173	1.132828288
174	1.132460829
175	1.132238683
176	1.131682893
177	1.131014934
178	1.130463468
179	1.130239099
180	1.129709318
181	1.12924486
182	1.128422531
183	1.127613629
184	1.127281111
185	1.127005512
186	1.126634917
187	1.126199741
188	1.125697338
189	1.125197288
190	1.124841372
191	1.124026169
192	1.123581896
193	1.123188938
194	1.122952176
195	1.122299268
196	1.121500812
197	1.12096239
198	1.120628545
199	1.120340509
200	1.119276856
201	1.118928015
202	1.118714117
203	1.11829355
204	1.117715999
205	1.11703473
206	1.11633153
207	1.115844078
208	1.115364415
209	1.114630353
210	1.114366817
211	1.114036157
212	1.113314525
213	1.11240164
214	1.112037053
215	1.111861626
216	1.111357532
217	1.110904649
218	1.110147326
219	1.109712813
220	1.108968009
221	1.108605543
222	1.108300364
223	1.10801211
224	1.107508222
225	1.107258081
226	1.106936533
227	1.106488564
228	1.106081293
229	1.105732021
230	1.105222853
231	1.104572318
232	1.104093404
233	1.103785112
234	1.103043081
235	1.102721021
236	1.10260606
237	1.10200562
238	1.100993836
239	1.100511215
240	1.09947733
241	1.098910612
242	1.098382205
243	1.098251885
244	1.097437332
245	1.096900839
246	1.09624926
247	1.095845525
248	1.095598551
249	1.095347725
250	1.09492537
251	1.094398418
252	1.093940555
253	1.093534549
254	1.092889926
255	1.092449538
256	1.092228595
257	1.09171272
258	1.091484498
259	1.091203443
260	1.090904465
261	1.090622731
262	1.090475788
263	1.090255167
264	1.089810388
265	1.089531147
266	1.089117553
267	1.0889472
268	1.088705668
269	1.088502604
270	1.088116583
271	1.087909566
272	1.087586273
273	1.087127448
274	1.086808338
275	1.086101588
276	1.085870847
277	1.085139489
278	1.084835972
279	1.084366888
280	1.084142535
281	1.083749134
282	1.083431225
283	1.083189613
284	1.083003353
285	1.082394248
286	1.08193506
287	1.08158526
288	1.081417685
289	1.081203384
290	1.080920444
291	1.080532866
292	1.079601291
293	1.079255274
294	1.078721703
295	1.078390082
296	1.078227518
297	1.077887549
298	1.077570085
299	1.07710104
300	1.076732362
301	1.076367151
302	1.075959074
303	1.075616018
304	1.07495788
305	1.074361136
306	1.073776826
307	1.073321906
308	1.072979359
309	1.072516276
310	1.072240798
311	1.07128337
312	1.071181427
313	1.07078347
314	1.070599665
315	1.070541922
316	1.070286842
317	1.069666165
318	1.069055437
319	1.068653745
320	1.068196019
321	1.067666475
322	1.06703909
323	1.066725037
324	1.066366079
325	1.066092436
326	1.065739334
327	1.065596937
328	1.065502386
329	1.065212215
330	1.064236066
331	1.063755426
332	1.063003504
333	1.062499965
334	1.062356058
335	1.062123526
336	1.061684247
337	1.060986317
338	1.060765194
339	1.060555259
340	1.060364892
341	1.060124582
342	1.059959782
343	1.059840088
344	1.059566224
345	1.059261457
346	1.059049624
347	1.05864304
348	1.058278345
349	1.058046659
350	1.057661582
351	1.057356015
352	1.057148413
353	1.056464624
354	1.056366404
355	1.056120662
356	1.055648188
357	1.055378272
358	1.055113279
359	1.054887589
360	1.054505138
361	1.053992978
362	1.053537216
363	1.053028843
364	1.052735408
365	1.05236932
